"lon","lat"
-100.7837392,46.8083268
-75.6971931,45.4215296
,
-43.6843877,-22.9196515
106.845599,-6.2087634
-155.5827818,19.8967662
-75.2023233,39.9562296
113.921327,-0.789275
-101.8437866,34.0642436
-117.435048,34.0922335
-60.978893,13.909444
-77.2716502,39.1731621
-88.1761521,39.4961458
-98.4936282,29.4241219
-82.7717684,28.0197404
,
-43.3996264,-22.7645391
-47.9218204,-15.826691
-87.6695529,42.010636
-85.1393513,41.079273
-74.0059728,40.7127753
10.451526,51.165691
114.109497,22.396428
-1.778586,50.735777
-74.0059728,40.7127753
-95.712891,37.09024
-91.1871466,30.4514677
,
-81.5157535,27.6648274
,
-76.0653246,45.1309487
-43.1728965,-22.9068467
-97.5164276,35.4675602
-73.5491361,52.9399159
-79.9958864,40.4406248
-77.010664,38.898514
-1.1581086,52.9547832
-78.898619,35.9940329
103.819836,1.352083
,
-1.7797176,51.5557739
,
-102.5832426,22.7708555
-90.6298922,38.7874699
-86.39027,35.8456213
-73.9393554,40.8417082
106.845599,-6.2087634
-51.92528,-14.235004
-76.568141,44.2618708
-82.907123,40.4172871
10.451526,51.165691
-122.2913078,37.8271784
-71.0022705,42.2528772
-88.7878678,43.7844397
-120.8958242,38.8375215
-97.861099,22.2331041
-3.7037902,40.4167754
-99.9018131,31.9685988
-95.1160414,37.1672839
-77.0368707,38.9071923
-112.0740373,33.4483771
-73.9730479,40.7572249
-96.8313978,39.0286093
-81.3792365,28.5383355
,
-1.1397592,52.6368778
-120.7401385,47.7510741
105.318756,61.52401
-76.6412712,39.0457549
-73.5491361,52.9399159
-73.9441579,40.6781784
-111.8882691,40.7188354
-1.1743197,52.3555177
-82.9000751,32.1656221
-51.92528,-14.235004
-80.4192216,36.0970819
-95.712891,37.09024
-123.0867536,44.0520691
115.8604572,-31.9505269
,
-97.1525862,33.207488
-43.3022984,-22.7826972
-118.2436849,34.0522342
-95.712891,37.09024
7.6615938,51.4332367
-70.7625532,43.0717552
-120.8958242,38.8375215
100.5017651,13.7563309
-0.1277583,51.5073509
-2.6325074,53.5450645
-80.2414543,36.1039955
-112.5837766,33.3703197
153.066667,-26.65
-82.9987942,39.9611755
16.8718715,41.1171432
-78.898619,35.9940329
-43.1728965,-22.9068467
-79.9958864,40.4406248
-79.0192997,35.7595731
,
-104.9739333,39.5480789
,
-90.1994042,38.6270025
10.451526,51.165691
-81.3792365,28.5383355
-82.9987942,39.9611755
-43.1779306,-22.5112498
-118.2436849,34.0522342
-79.9719831,35.914581
-0.108438,51.5548885
-77.1945247,41.2033216
121.0437003,14.6760413
-43.032958,-22.9706296
-95.266826,36.249758
-97.7430608,30.267153
-2.2668382,52.2545225
-118.2436849,34.0522342
-118.1339563,33.8536269
,
113.921327,-0.789275
-97.222101,49.897617
53.847818,23.424076
-102.2915677,21.8852562
9.1582069,45.1847248
-85.8552161,31.3151708
-81.5157535,27.6648274
-79.7208516,43.5746477
-3.435973,55.378051
-74.0059728,40.7127753
-95.712891,37.09024
10.451526,51.165691
,
,
,
-46.618098,-23.5580858
2.213749,46.227638
-97.7430608,30.267153
-114.0708459,51.0486151
-87.5691735,33.2098407
-93.2650108,44.977753
-74.0059728,40.7127753
-41.5317164,-20.7622569
-96.5716694,39.1836082
,
-1.61778,54.978252
-119.4179324,36.778261
-99.133208,19.4326077
,
-111.7609896,34.8697395
,
-70.2568189,43.6590993
-122.6252431,45.5049376
,
-70.2568189,43.6590993
-49.3044253,-25.4808762
-3.530875,50.7155591
-104.5230242,33.3942655
-90.0489801,35.1495343
-119.4179324,36.778261
-96.0260893,41.4561621
-116.4993012,43.8734978
-97.2689331,37.5455735
-99.9018131,31.9685988
-86.902298,32.3182314
-95.712891,37.09024
-104.9739333,39.5480789
170.5027976,-45.8787605
,
-61.796428,17.060816
-78.8783689,42.8864468
135.5021651,34.6937378
-101.8453846,33.5145696
,
-89.0772991,37.7600501
-104.9739333,39.5480789
,
-91.5301683,41.6611277
-75.4690966,40.0989851
-79.0192997,35.7595731
-79.6903316,44.3893556
,
-122.2913078,37.8271784
10.451526,51.165691
-71.1097335,42.3736158
149.1300092,-35.2809368
,
-79.6269376,43.6395111
-1.831672,52.681602
,
-120.7401385,47.7510741
-122.3320708,47.6062095
-43.596635,-22.9939925
-90.1994042,38.6270025
,
12.56738,41.87194
-74.4056612,40.0583238
-95.712891,37.09024
-123.8695086,40.7450055
153.0251235,-27.4697707
-79.3801688,43.6517906
-97.396381,27.8005828
-96.8236116,33.1506744
-69.4454689,45.253783
-74.0059728,40.7127753
-77.0368707,38.9071923
-100.4370375,31.4637723
,
-1.607339,50.783928
-87.6297982,41.8781136
-95.712891,37.09024
,
,
-157.8583333,21.3069444
-82.907123,40.4172871
-87.6297982,41.8781136
,
-81.6943605,41.49932
-122.4194155,37.7749295
-119.4179324,36.778261
-120.9968782,37.6390972
-79.3831843,43.653226
,
-84.5555347,42.732535
-84.3879824,33.7489954
-94.846681,39.7674578
-2.4438209,53.100405
,
-80.3040424,42.8372632
-95.712891,37.09024
-97.1525862,33.207488
-102.5685297,22.7705359
-95.712891,37.09024
-112.2373779,33.5805955
-0.1277583,51.5073509
11.5819805,48.1351253
,
10.451526,51.165691
-0.09966,51.582426
-74.0059728,40.7127753
-73.8205567,45.4895636
-80.3040424,42.8372632
-74.4056612,40.0583238
115.8604572,-31.9505269
-77.1527578,39.0839973
-85.6023643,44.3148443
-95.712891,37.09024
-87.71453,43.7508284
-117.5931084,34.1063989
,
